tick,agent_id,x,y,active_agents,messages_sent
0,1d415d81-8a9b-4885-a995-e330934cdc88,8,9,4,0
0,e7e0e9d2-f913-483c-948e-67eb33115c2d,3,1,4,0
0,b081f9c5-f7c9-4596-becd-caecde91fc90,0,4,4,0
0,a4784c74-1bd0-4d3a-916f-dc84ba709e93,8,6,4,0
1,1d415d81-8a9b-4885-a995-e330934cdc88,8,9,4,0
1,e7e0e9d2-f913-483c-948e-67eb33115c2d,3,1,4,0
1,b081f9c5-f7c9-4596-becd-caecde91fc90,0,4,4,0
1,a4784c74-1bd0-4d3a-916f-dc84ba709e93,8,6,4,0
2,1d415d81-8a9b-4885-a995-e330934cdc88,8,8,4,0
2,e7e0e9d2-f913-483c-948e-67eb33115c2d,3,1,4,0
2,b081f9c5-f7c9-4596-becd-caecde91fc90,0,4,4,0
2,a4784c74-1bd0-4d3a-916f-dc84ba709e93,8,6,4,0
3,1d415d81-8a9b-4885-a995-e330934cdc88,8,7,4,0
3,e7e0e9d2-f913-483c-948e-67eb33115c2d,3,1,4,0
3,b081f9c5-f7c9-4596-becd-caecde91fc90,0,4,4,0
3,a4784c74-1bd0-4d3a-916f-dc84ba709e93,8,6,4,0
4,1d415d81-8a9b-4885-a995-e330934cdc88,9,6,4,0
4,e7e0e9d2-f913-483c-948e-67eb33115c2d,3,1,4,0
4,b081f9c5-f7c9-4596-becd-caecde91fc90,0,4,4,0
4,a4784c74-1bd0-4d3a-916f-dc84ba709e93,7,6,4,0
5,1d415d81-8a9b-4885-a995-e330934cdc88,9,6,4,0
5,e7e0e9d2-f913-483c-948e-67eb33115c2d,3,2,4,0
5,b081f9c5-f7c9-4596-becd-caecde91fc90,0,3,4,0
5,a4784c74-1bd0-4d3a-916f-dc84ba709e93,7,6,4,0
6,1d415d81-8a9b-4885-a995-e330934cdc88,9,5,4,0
6,e7e0e9d2-f913-483c-948e-67eb33115c2d,3,2,4,0
6,b081f9c5-f7c9-4596-becd-caecde91fc90,0,3,4,0
6,a4784c74-1bd0-4d3a-916f-dc84ba709e93,7,6,4,0
7,1d415d81-8a9b-4885-a995-e330934cdc88,9,4,4,0
7,e7e0e9d2-f913-483c-948e-67eb33115c2d,3,2,4,0
7,b081f9c5-f7c9-4596-becd-caecde91fc90,0,3,4,0
7,a4784c74-1bd0-4d3a-916f-dc84ba709e93,7,6,4,0
8,1d415d81-8a9b-4885-a995-e330934cdc88,8,4,4,0
8,e7e0e9d2-f913-483c-948e-67eb33115c2d,3,3,4,0
8,b081f9c5-f7c9-4596-becd-caecde91fc90,1,3,4,0
8,a4784c74-1bd0-4d3a-916f-dc84ba709e93,7,6,4,0
9,1d415d81-8a9b-4885-a995-e330934cdc88,7,4,3,0
9,e7e0e9d2-f913-483c-948e-67eb33115c2d,3,3,3,0
9,b081f9c5-f7c9-4596-becd-caecde91fc90,1,3,3,0
9,a4784c74-1bd0-4d3a-916f-dc84ba709e93,7,6,3,0
10,1d415d81-8a9b-4885-a995-e330934cdc88,7,4,3,0
10,e7e0e9d2-f913-483c-948e-67eb33115c2d,3,3,3,0
10,b081f9c5-f7c9-4596-becd-caecde91fc90,1,3,3,0
10,a4784c74-1bd0-4d3a-916f-dc84ba709e93,7,6,3,0
11,1d415d81-8a9b-4885-a995-e330934cdc88,7,4,3,0
11,e7e0e9d2-f913-483c-948e-67eb33115c2d,3,4,3,0
11,b081f9c5-f7c9-4596-becd-caecde91fc90,2,3,3,0
11,a4784c74-1bd0-4d3a-916f-dc84ba709e93,7,6,3,0
12,1d415d81-8a9b-4885-a995-e330934cdc88,7,4,3,0
12,e7e0e9d2-f913-483c-948e-67eb33115c2d,3,4,3,0
12,b081f9c5-f7c9-4596-becd-caecde91fc90,2,3,3,0
12,a4784c74-1bd0-4d3a-916f-dc84ba709e93,7,6,3,0
13,1d415d81-8a9b-4885-a995-e330934cdc88,7,4,3,0
13,e7e0e9d2-f913-483c-948e-67eb33115c2d,3,4,3,0
13,b081f9c5-f7c9-4596-becd-caecde91fc90,2,3,3,0
13,a4784c74-1bd0-4d3a-916f-dc84ba709e93,7,6,3,0
14,1d415d81-8a9b-4885-a995-e330934cdc88,7,4,3,0
14,e7e0e9d2-f913-483c-948e-67eb33115c2d,3,5,3,0
14,b081f9c5-f7c9-4596-becd-caecde91fc90,3,3,3,0
14,a4784c74-1bd0-4d3a-916f-dc84ba709e93,7,6,3,0
15,1d415d81-8a9b-4885-a995-e330934cdc88,7,4,3,0
15,e7e0e9d2-f913-483c-948e-67eb33115c2d,3,5,3,0
15,b081f9c5-f7c9-4596-becd-caecde91fc90,3,3,3,0
15,a4784c74-1bd0-4d3a-916f-dc84ba709e93,7,6,3,0
16,1d415d81-8a9b-4885-a995-e330934cdc88,7,4,3,0
16,e7e0e9d2-f913-483c-948e-67eb33115c2d,3,5,3,0
16,b081f9c5-f7c9-4596-becd-caecde91fc90,3,3,3,0
16,a4784c74-1bd0-4d3a-916f-dc84ba709e93,7,6,3,0
17,1d415d81-8a9b-4885-a995-e330934cdc88,7,4,3,0
17,e7e0e9d2-f913-483c-948e-67eb33115c2d,3,6,3,0
17,b081f9c5-f7c9-4596-becd-caecde91fc90,4,3,3,0
17,a4784c74-1bd0-4d3a-916f-dc84ba709e93,7,6,3,0
18,1d415d81-8a9b-4885-a995-e330934cdc88,7,4,3,0
18,e7e0e9d2-f913-483c-948e-67eb33115c2d,3,6,3,0
18,b081f9c5-f7c9-4596-becd-caecde91fc90,4,3,3,0
18,a4784c74-1bd0-4d3a-916f-dc84ba709e93,7,6,3,0
19,1d415d81-8a9b-4885-a995-e330934cdc88,7,4,3,0
19,e7e0e9d2-f913-483c-948e-67eb33115c2d,3,6,3,0
19,b081f9c5-f7c9-4596-becd-caecde91fc90,4,3,3,0
19,a4784c74-1bd0-4d3a-916f-dc84ba709e93,7,6,3,0
20,1d415d81-8a9b-4885-a995-e330934cdc88,7,4,3,0
20,e7e0e9d2-f913-483c-948e-67eb33115c2d,3,7,3,0
20,b081f9c5-f7c9-4596-becd-caecde91fc90,5,3,3,0
20,a4784c74-1bd0-4d3a-916f-dc84ba709e93,7,6,3,0
21,1d415d81-8a9b-4885-a995-e330934cdc88,7,4,3,0
21,e7e0e9d2-f913-483c-948e-67eb33115c2d,3,7,3,0
21,b081f9c5-f7c9-4596-becd-caecde91fc90,5,3,3,0
21,a4784c74-1bd0-4d3a-916f-dc84ba709e93,7,6,3,0
22,1d415d81-8a9b-4885-a995-e330934cdc88,7,4,3,0
22,e7e0e9d2-f913-483c-948e-67eb33115c2d,3,7,3,0
22,b081f9c5-f7c9-4596-becd-caecde91fc90,5,3,3,0
22,a4784c74-1bd0-4d3a-916f-dc84ba709e93,7,6,3,0
23,1d415d81-8a9b-4885-a995-e330934cdc88,7,4,3,0
23,e7e0e9d2-f913-483c-948e-67eb33115c2d,3,8,3,0
23,b081f9c5-f7c9-4596-becd-caecde91fc90,5,2,3,0
23,a4784c74-1bd0-4d3a-916f-dc84ba709e93,7,6,3,0
24,1d415d81-8a9b-4885-a995-e330934cdc88,7,4,3,0
24,e7e0e9d2-f913-483c-948e-67eb33115c2d,3,8,3,0
24,b081f9c5-f7c9-4596-becd-caecde91fc90,5,2,3,0
24,a4784c74-1bd0-4d3a-916f-dc84ba709e93,7,6,3,0
25,1d415d81-8a9b-4885-a995-e330934cdc88,7,4,3,0
25,e7e0e9d2-f913-483c-948e-67eb33115c2d,3,8,3,0
25,b081f9c5-f7c9-4596-becd-caecde91fc90,5,2,3,0
25,a4784c74-1bd0-4d3a-916f-dc84ba709e93,7,6,3,0
26,1d415d81-8a9b-4885-a995-e330934cdc88,7,4,2,0
26,e7e0e9d2-f913-483c-948e-67eb33115c2d,3,9,2,0
26,b081f9c5-f7c9-4596-becd-caecde91fc90,5,1,2,0
