tick,agent_id,x,y,active_agents,messages_sent
0,726df725-69c4-46ba-bd53-16fd96dbfa6d,6,6,8,0
0,66b2de08-59f5-4289-9307-013cb9e7f206,2,4,8,0
0,c7eda248-d1b7-4c0a-b66c-3d9087507737,8,6,8,0
0,9ca1b653-7fe1-4db8-962b-e97d30de7e95,5,3,8,0
0,c28e0c0b-0daa-4abe-82c0-edaa8951c23e,4,8,8,0
0,08c2f893-2b30-4bf3-ba07-ebf725151871,6,9,8,0
0,499db07d-5c91-4fad-b439-3f81abfba06b,1,7,8,0
0,a6213938-f9cf-476a-825f-fc10c2489078,3,4,8,0
1,726df725-69c4-46ba-bd53-16fd96dbfa6d,6,6,8,0
1,66b2de08-59f5-4289-9307-013cb9e7f206,2,4,8,0
1,c7eda248-d1b7-4c0a-b66c-3d9087507737,8,6,8,0
1,9ca1b653-7fe1-4db8-962b-e97d30de7e95,5,3,8,0
1,c28e0c0b-0daa-4abe-82c0-edaa8951c23e,4,8,8,0
1,08c2f893-2b30-4bf3-ba07-ebf725151871,6,9,8,0
1,499db07d-5c91-4fad-b439-3f81abfba06b,1,7,8,0
1,a6213938-f9cf-476a-825f-fc10c2489078,3,4,8,0
2,726df725-69c4-46ba-bd53-16fd96dbfa6d,6,5,8,0
2,66b2de08-59f5-4289-9307-013cb9e7f206,2,4,8,0
2,c7eda248-d1b7-4c0a-b66c-3d9087507737,8,6,8,0
2,9ca1b653-7fe1-4db8-962b-e97d30de7e95,5,3,8,0
2,c28e0c0b-0daa-4abe-82c0-edaa8951c23e,4,8,8,0
2,08c2f893-2b30-4bf3-ba07-ebf725151871,6,9,8,0
2,499db07d-5c91-4fad-b439-3f81abfba06b,1,7,8,0
2,a6213938-f9cf-476a-825f-fc10c2489078,3,4,8,0
3,726df725-69c4-46ba-bd53-16fd96dbfa6d,6,4,8,0
3,66b2de08-59f5-4289-9307-013cb9e7f206,2,4,8,0
3,c7eda248-d1b7-4c0a-b66c-3d9087507737,8,6,8,0
