tick,agent_id,x,y,active_agents,messages_sent
0,3fb9d278-57ec-4088-8909-4e87133f92bd,6,2,40,0
0,87a672f3-db0f-4cde-9ba1-bc97ee5859f8,11,19,40,0
0,0b00bbbc-0fa5-417a-84c3-3e34274ba0f5,12,19,40,0
0,344bceaa-552c-4c5d-8d6f-bcb38bc14c35,2,12,40,0
0,d2a36b3a-2595-418a-b009-ffb1f11067ab,0,2,40,0
0,96d3db2f-8fbc-4f9a-908a-45c01431889f,15,8,40,0
0,2f155487-7a8a-4365-a969-da915436c18f,4,8,40,0
0,6b2699f6-6db4-4ffe-9947-3d8fa0b6893c,6,8,40,0
0,756b837a-2728-4401-ba2c-64631ec85886,1,8,40,0
0,0aeb9fdc-d2e4-4faf-a58f-40366838fde0,5,3,40,0
0,621b86f9-0d14-4826-9fbb-acab6d6112ed,2,14,40,0
0,2c74984d-86e3-441a-a4fe-3a9817de4810,14,19,40,0
0,95432033-70ac-4cd5-8c07-5d4cec71f533,13,8,40,0
0,4dc7213e-b62b-4854-982d-5065c8f5edc0,17,13,40,0
0,fa9493cf-0222-4f1e-a617-8589ed3e336e,0,17,40,0
0,7386bd4e-d426-4e17-9fb2-62b1aac22a10,16,11,40,0
0,28308bb0-02f9-4b3e-8346-dfe160b30979,12,11,40,0
0,37cbbaf8-fde0-42a4-8b7a-ca0d919db8a9,6,9,40,0
0,7de39446-1668-47fb-a84b-7acc8b5def1d,1,7,40,0
0,1494c05b-28f1-4717-aaf0-8dbf2a17e2f1,19,0,40,0
0,e24b9ec9-21ee-4799-8277-81aa5ccf3303,9,3,40,0
0,2a286618-4b7b-4e08-9f64-e59b2e44e174,16,8,40,0
0,e1c61b57-456e-4478-a30b-60e7eb366cf1,4,14,40,0
0,a09da75d-f5f8-4870-ac7c-343b0c3e2e45,0,15,40,0
0,2171aba9-235c-4455-9872-4f20887502c0,3,17,40,0
0,746a32cd-fbb4-42d8-b2a2-5678a9f5cfb9,18,11,40,0
0,1263bcff-43d7-4dfa-b216-11729565feb0,2,16,40,0
0,5fa664f0-91cf-4804-862b-a46872f00ae2,17,1,40,0
0,e60fb399-e5b9-4fdd-9217-9b07e40a297a,19,13,40,0
0,8ae73084-ed3f-4e07-888a-f35d4b6b732d,11,8,40,0
0,cbba9ab1-b0e5-40f3-86f9-e26c47735833,17,0,40,0
0,cb790b06-54f5-4218-a549-78d1a30bfcdf,7,19,40,0
0,067566ce-d17d-4a2d-9ee1-e20a4542c844,5,7,40,0
0,3fcd3563-fffb-4fe2-b04c-20434ae4c55a,12,0,40,0
0,065d927a-5750-428d-b0ba-4c8fdd1b8a3a,0,1,40,0
0,298c54b4-72bf-423f-bac2-9472f474d36e,11,3,40,0
0,e45f1d6e-9ce0-4001-b322-4c87b0339918,16,10,40,0
0,be4458a4-ea19-44a8-a34f-c100b579345f,19,9,40,0
0,86155a73-2930-4405-b715-3d7391068753,8,0,40,0
0,bf4e4d38-75d0-4cca-ab93-cd7a6efcff24,19,12,40,0
1,3fb9d278-57ec-4088-8909-4e87133f92bd,7,2,39,0
1,87a672f3-db0f-4cde-9ba1-bc97ee5859f8,11,18,39,0
1,0b00bbbc-0fa5-417a-84c3-3e34274ba0f5,12,18,39,0
1,344bceaa-552c-4c5d-8d6f-bcb38bc14c35,2,13,39,0
1,d2a36b3a-2595-418a-b009-ffb1f11067ab,0,3,39,0
1,96d3db2f-8fbc-4f9a-908a-45c01431889f,15,7,39,0
1,2f155487-7a8a-4365-a969-da915436c18f,4,9,39,0
1,6b2699f6-6db4-4ffe-9947-3d8fa0b6893c,6,8,39,0
1,756b837a-2728-4401-ba2c-64631ec85886,2,8,39,0
1,0aeb9fdc-d2e4-4faf-a58f-40366838fde0,5,4,39,0
1,621b86f9-0d14-4826-9fbb-acab6d6112ed,1,14,39,0
1,2c74984d-86e3-441a-a4fe-3a9817de4810,13,19,39,0
1,95432033-70ac-4cd5-8c07-5d4cec71f533,13,9,39,0
1,4dc7213e-b62b-4854-982d-5065c8f5edc0,17,12,39,0
1,fa9493cf-0222-4f1e-a617-8589ed3e336e,0,16,39,0
1,7386bd4e-d426-4e17-9fb2-62b1aac22a10,15,11,39,0
1,28308bb0-02f9-4b3e-8346-dfe160b30979,11,11,39,0
1,37cbbaf8-fde0-42a4-8b7a-ca0d919db8a9,5,9,39,0
1,7de39446-1668-47fb-a84b-7acc8b5def1d,2,7,39,0
1,1494c05b-28f1-4717-aaf0-8dbf2a17e2f1,19,1,39,0
1,e24b9ec9-21ee-4799-8277-81aa5ccf3303,9,4,39,0
1,2a286618-4b7b-4e08-9f64-e59b2e44e174,16,9,39,0
1,e1c61b57-456e-4478-a30b-60e7eb366cf1,4,13,39,0
1,a09da75d-f5f8-4870-ac7c-343b0c3e2e45,1,15,39,0
1,2171aba9-235c-4455-9872-4f20887502c0,4,17,39,0
1,746a32cd-fbb4-42d8-b2a2-5678a9f5cfb9,18,10,39,0
1,1263bcff-43d7-4dfa-b216-11729565feb0,2,15,39,0
1,5fa664f0-91cf-4804-862b-a46872f00ae2,17,2,39,0
1,e60fb399-e5b9-4fdd-9217-9b07e40a297a,19,14,39,0
1,8ae73084-ed3f-4e07-888a-f35d4b6b732d,12,8,39,0
1,cbba9ab1-b0e5-40f3-86f9-e26c47735833,17,1,39,0
1,cb790b06-54f5-4218-a549-78d1a30bfcdf,8,19,39,0
1,067566ce-d17d-4a2d-9ee1-e20a4542c844,6,7,39,0
1,3fcd3563-fffb-4fe2-b04c-20434ae4c55a,13,0,39,0
1,065d927a-5750-428d-b0ba-4c8fdd1b8a3a,0,2,39,0
1,298c54b4-72bf-423f-bac2-9472f474d36e,12,3,39,0
1,e45f1d6e-9ce0-4001-b322-4c87b0339918,15,10,39,0
1,be4458a4-ea19-44a8-a34f-c100b579345f,19,10,39,0
1,86155a73-2930-4405-b715-3d7391068753,8,1,39,0
1,bf4e4d38-75d0-4cca-ab93-cd7a6efcff24,19,11,39,0
2,3fb9d278-57ec-4088-8909-4e87133f92bd,8,2,38,0
2,87a672f3-db0f-4cde-9ba1-bc97ee5859f8,11,17,38,0
2,0b00bbbc-0fa5-417a-84c3-3e34274ba0f5,12,17,38,0
2,344bceaa-552c-4c5d-8d6f-bcb38bc14c35,2,14,38,0
2,d2a36b3a-2595-418a-b009-ffb1f11067ab,1,3,38,0
2,96d3db2f-8fbc-4f9a-908a-45c01431889f,14,7,38,0
2,2f155487-7a8a-4365-a969-da915436c18f,4,10,38,0
2,6b2699f6-6db4-4ffe-9947-3d8fa0b6893c,6,8,38,0
2,756b837a-2728-4401-ba2c-64631ec85886,3,8,38,0
2,0aeb9fdc-d2e4-4faf-a58f-40366838fde0,4,4,38,0
2,621b86f9-0d14-4826-9fbb-acab6d6112ed,1,13,38,0
2,2c74984d-86e3-441a-a4fe-3a9817de4810,13,18,38,0
2,95432033-70ac-4cd5-8c07-5d4cec71f533,13,10,38,0
2,4dc7213e-b62b-4854-982d-5065c8f5edc0,17,11,38,0
2,fa9493cf-0222-4f1e-a617-8589ed3e336e,0,15,38,0
2,7386bd4e-d426-4e17-9fb2-62b1aac22a10,14,11,38,0
2,28308bb0-02f9-4b3e-8346-dfe160b30979,10,11,38,0
2,37cbbaf8-fde0-42a4-8b7a-ca0d919db8a9,5,8,38,0
2,7de39446-1668-47fb-a84b-7acc8b5def1d,3,7,38,0
2,1494c05b-28f1-4717-aaf0-8dbf2a17e2f1,19,2,38,0
2,e24b9ec9-21ee-4799-8277-81aa5ccf3303,8,4,38,0
2,2a286618-4b7b-4e08-9f64-e59b2e44e174,16,10,38,0
2,e1c61b57-456e-4478-a30b-60e7eb366cf1,4,12,38,0
2,a09da75d-f5f8-4870-ac7c-343b0c3e2e45,1,15,38,0
2,2171aba9-235c-4455-9872-4f20887502c0,4,16,38,0
2,746a32cd-fbb4-42d8-b2a2-5678a9f5cfb9,18,10,38,0
2,1263bcff-43d7-4dfa-b216-11729565feb0,3,15,38,0
2,5fa664f0-91cf-4804-862b-a46872f00ae2,17,3,38,0
2,e60fb399-e5b9-4fdd-9217-9b07e40a297a,19,15,38,0
2,8ae73084-ed3f-4e07-888a-f35d4b6b732d,13,8,38,0
2,cbba9ab1-b0e5-40f3-86f9-e26c47735833,17,2,38,0
2,cb790b06-54f5-4218-a549-78d1a30bfcdf,9,19,38,0
2,067566ce-d17d-4a2d-9ee1-e20a4542c844,6,7,38,0
2,3fcd3563-fffb-4fe2-b04c-20434ae4c55a,14,0,38,0
2,065d927a-5750-428d-b0ba-4c8fdd1b8a3a,0,3,38,0
2,298c54b4-72bf-423f-bac2-9472f474d36e,13,3,38,0
2,e45f1d6e-9ce0-4001-b322-4c87b0339918,14,10,38,0
2,be4458a4-ea19-44a8-a34f-c100b579345f,19,10,38,0
2,86155a73-2930-4405-b715-3d7391068753,7,1,38,0
2,bf4e4d38-75d0-4cca-ab93-cd7a6efcff24,18,11,38,0
3,3fb9d278-57ec-4088-8909-4e87133f92bd,9,2,38,0
3,87a672f3-db0f-4cde-9ba1-bc97ee5859f8,11,16,38,0
3,0b00bbbc-0fa5-417a-84c3-3e34274ba0f5,12,16,38,0
3,344bceaa-552c-4c5d-8d6f-bcb38bc14c35,3,14,38,0
3,d2a36b3a-2595-418a-b009-ffb1f11067ab,2,3,38,0
3,96d3db2f-8fbc-4f9a-908a-45c01431889f,13,7,38,0
3,2f155487-7a8a-4365-a969-da915436c18f,5,10,38,0
3,6b2699f6-6db4-4ffe-9947-3d8fa0b6893c,6,9,38,0
3,756b837a-2728-4401-ba2c-64631ec85886,4,8,38,0
3,0aeb9fdc-d2e4-4faf-a58f-40366838fde0,3,4,38,0
3,621b86f9-0d14-4826-9fbb-acab6d6112ed,1,12,38,0
3,2c74984d-86e3-441a-a4fe-3a9817de4810,13,17,38,0
3,95432033-70ac-4cd5-8c07-5d4cec71f533,13,11,38,0
3,4dc7213e-b62b-4854-982d-5065c8f5edc0,16,11,38,0
3,fa9493cf-0222-4f1e-a617-8589ed3e336e,0,14,38,0
3,7386bd4e-d426-4e17-9fb2-62b1aac22a10,14,11,38,0
3,28308bb0-02f9-4b3e-8346-dfe160b30979,9,11,38,0
3,37cbbaf8-fde0-42a4-8b7a-ca0d919db8a9,6,8,38,0
3,7de39446-1668-47fb-a84b-7acc8b5def1d,4,7,38,0
3,1494c05b-28f1-4717-aaf0-8dbf2a17e2f1,19,3,38,0
3,e24b9ec9-21ee-4799-8277-81aa5ccf3303,7,4,38,0
3,2a286618-4b7b-4e08-9f64-e59b2e44e174,15,10,38,0
3,e1c61b57-456e-4478-a30b-60e7eb366cf1,4,11,38,0
3,a09da75d-f5f8-4870-ac7c-343b0c3e2e45,1,15,38,0
3,2171aba9-235c-4455-9872-4f20887502c0,5,16,38,0
3,746a32cd-fbb4-42d8-b2a2-5678a9f5cfb9,18,10,38,0
3,1263bcff-43d7-4dfa-b216-11729565feb0,4,15,38,0
3,5fa664f0-91cf-4804-862b-a46872f00ae2,17,4,38,0
3,e60fb399-e5b9-4fdd-9217-9b07e40a297a,19,16,38,0
3,8ae73084-ed3f-4e07-888a-f35d4b6b732d,14,8,38,0
3,cbba9ab1-b0e5-40f3-86f9-e26c47735833,17,3,38,0
3,cb790b06-54f5-4218-a549-78d1a30bfcdf,10,19,38,0
3,067566ce-d17d-4a2d-9ee1-e20a4542c844,5,7,38,0
3,3fcd3563-fffb-4fe2-b04c-20434ae4c55a,14,0,38,0
3,065d927a-5750-428d-b0ba-4c8fdd1b8a3a,1,3,38,0
3,298c54b4-72bf-423f-bac2-9472f474d36e,13,4,38,0
3,e45f1d6e-9ce0-4001-b322-4c87b0339918,13,10,38,0
3,be4458a4-ea19-44a8-a34f-c100b579345f,19,10,38,0
3,86155a73-2930-4405-b715-3d7391068753,7,2,38,0
3,bf4e4d38-75d0-4cca-ab93-cd7a6efcff24,17,11,38,0
4,3fb9d278-57ec-4088-8909-4e87133f92bd,9,3,38,0
4,87a672f3-db0f-4cde-9ba1-bc97ee5859f8,11,15,38,0
4,0b00bbbc-0fa5-417a-84c3-3e34274ba0f5,13,16,38,0
4,344bceaa-552c-4c5d-8d6f-bcb38bc14c35,4,14,38,0
4,d2a36b3a-2595-418a-b009-ffb1f11067ab,3,3,38,0
4,96d3db2f-8fbc-4f9a-908a-45c01431889f,12,7,38,0
4,2f155487-7a8a-4365-a969-da915436c18f,6,10,38,0
4,6b2699f6-6db4-4ffe-9947-3d8fa0b6893c,6,9,38,0
4,756b837a-2728-4401-ba2c-64631ec85886,5,8,38,0
4,0aeb9fdc-d2e4-4faf-a58f-40366838fde0,3,5,38,0
4,621b86f9-0d14-4826-9fbb-acab6d6112ed,1,11,38,0
4,2c74984d-86e3-441a-a4fe-3a9817de4810,13,17,38,0
4,95432033-70ac-4cd5-8c07-5d4cec71f533,13,12,38,0
4,4dc7213e-b62b-4854-982d-5065c8f5edc0,15,11,38,0
4,fa9493cf-0222-4f1e-a617-8589ed3e336e,0,13,38,0
4,7386bd4e-d426-4e17-9fb2-62b1aac22a10,13,11,38,0
4,28308bb0-02f9-4b3e-8346-dfe160b30979,8,11,38,0
4,37cbbaf8-fde0-42a4-8b7a-ca0d919db8a9,7,8,38,0
4,7de39446-1668-47fb-a84b-7acc8b5def1d,4,8,38,0
4,1494c05b-28f1-4717-aaf0-8dbf2a17e2f1,19,4,38,0
4,e24b9ec9-21ee-4799-8277-81aa5ccf3303,6,4,38,0
4,2a286618-4b7b-4e08-9f64-e59b2e44e174,14,10,38,0
4,e1c61b57-456e-4478-a30b-60e7eb366cf1,5,11,38,0
4,a09da75d-f5f8-4870-ac7c-343b0c3e2e45,2,15,38,0
4,2171aba9-235c-4455-9872-4f20887502c0,6,16,38,0
4,746a32cd-fbb4-42d8-b2a2-5678a9f5cfb9,18,10,38,0
4,1263bcff-43d7-4dfa-b216-11729565feb0,5,15,38,0
4,5fa664f0-91cf-4804-862b-a46872f00ae2,18,4,38,0
4,e60fb399-e5b9-4fdd-9217-9b07e40a297a,18,16,38,0
4,8ae73084-ed3f-4e07-888a-f35d4b6b732d,14,7,38,0
4,cbba9ab1-b0e5-40f3-86f9-e26c47735833,16,3,38,0
4,cb790b06-54f5-4218-a549-78d1a30bfcdf,11,19,38,0
4,067566ce-d17d-4a2d-9ee1-e20a4542c844,4,7,38,0
4,3fcd3563-fffb-4fe2-b04c-20434ae4c55a,14,0,38,0
4,065d927a-5750-428d-b0ba-4c8fdd1b8a3a,2,3,38,0
4,298c54b4-72bf-423f-bac2-9472f474d36e,14,4,38,0
4,e45f1d6e-9ce0-4001-b322-4c87b0339918,13,10,38,0
4,be4458a4-ea19-44a8-a34f-c100b579345f,19,11,38,0
4,86155a73-2930-4405-b715-3d7391068753,6,2,38,0
4,bf4e4d38-75d0-4cca-ab93-cd7a6efcff24,16,11,38,0
5,3fb9d278-57ec-4088-8909-4e87133f92bd,10,3,38,0
5,87a672f3-db0f-4cde-9ba1-bc97ee5859f8,12,15,38,0
5,0b00bbbc-0fa5-417a-84c3-3e34274ba0f5,13,15,38,0
5,344bceaa-552c-4c5d-8d6f-bcb38bc14c35,5,14,38,0
5,d2a36b3a-2595-418a-b009-ffb1f11067ab,3,4,38,0
5,96d3db2f-8fbc-4f9a-908a-45c01431889f,11,7,38,0
5,2f155487-7a8a-4365-a969-da915436c18f,6,11,38,0
5,6b2699f6-6db4-4ffe-9947-3d8fa0b6893c,6,10,38,0
5,756b837a-2728-4401-ba2c-64631ec85886,5,9,38,0
5,0aeb9fdc-d2e4-4faf-a58f-40366838fde0,3,6,38,0
5,621b86f9-0d14-4826-9fbb-acab6d6112ed,1,10,38,0
5,2c74984d-86e3-441a-a4fe-3a9817de4810,13,16,38,0
5,95432033-70ac-4cd5-8c07-5d4cec71f533,14,12,38,0
5,4dc7213e-b62b-4854-982d-5065c8f5edc0,14,11,38,0
5,fa9493cf-0222-4f1e-a617-8589ed3e336e,0,12,38,0
5,7386bd4e-d426-4e17-9fb2-62b1aac22a10,12,11,38,0
5,28308bb0-02f9-4b3e-8346-dfe160b30979,7,11,38,0
5,37cbbaf8-fde0-42a4-8b7a-ca0d919db8a9,8,8,38,0
5,7de39446-1668-47fb-a84b-7acc8b5def1d,4,9,38,0
5,1494c05b-28f1-4717-aaf0-8dbf2a17e2f1,19,5,38,0
5,e24b9ec9-21ee-4799-8277-81aa5ccf3303,5,4,38,0
5,2a286618-4b7b-4e08-9f64-e59b2e44e174,14,10,38,0
5,e1c61b57-456e-4478-a30b-60e7eb366cf1,5,10,38,0
5,a09da75d-f5f8-4870-ac7c-343b0c3e2e45,3,15,38,0
5,2171aba9-235c-4455-9872-4f20887502c0,7,16,38,0
5,746a32cd-fbb4-42d8-b2a2-5678a9f5cfb9,18,10,38,0
5,1263bcff-43d7-4dfa-b216-11729565feb0,6,15,38,0
5,5fa664f0-91cf-4804-862b-a46872f00ae2,19,4,38,0
5,e60fb399-e5b9-4fdd-9217-9b07e40a297a,17,16,38,0
5,8ae73084-ed3f-4e07-888a-f35d4b6b732d,14,6,38,0
5,cbba9ab1-b0e5-40f3-86f9-e26c47735833,15,3,38,0
5,cb790b06-54f5-4218-a549-78d1a30bfcdf,12,19,38,0
5,067566ce-d17d-4a2d-9ee1-e20a4542c844,3,7,38,0
5,3fcd3563-fffb-4fe2-b04c-20434ae4c55a,14,0,38,0
5,065d927a-5750-428d-b0ba-4c8fdd1b8a3a,3,3,38,0
5,298c54b4-72bf-423f-bac2-9472f474d36e,14,5,38,0
5,e45f1d6e-9ce0-4001-b322-4c87b0339918,13,11,38,0
5,be4458a4-ea19-44a8-a34f-c100b579345f,19,12,38,0
5,86155a73-2930-4405-b715-3d7391068753,6,3,38,0
5,bf4e4d38-75d0-4cca-ab93-cd7a6efcff24,16,10,38,0
6,3fb9d278-57ec-4088-8909-4e87133f92bd,11,3,37,0
6,87a672f3-db0f-4cde-9ba1-bc97ee5859f8,12,15,37,0
6,0b00bbbc-0fa5-417a-84c3-3e34274ba0f5,14,15,37,0
6,344bceaa-552c-4c5d-8d6f-bcb38bc14c35,5,15,37,0
6,d2a36b3a-2595-418a-b009-ffb1f11067ab,3,5,37,0
6,96d3db2f-8fbc-4f9a-908a-45c01431889f,10,7,37,0
6,2f155487-7a8a-4365-a969-da915436c18f,6,11,37,0
6,6b2699f6-6db4-4ffe-9947-3d8fa0b6893c,6,10,37,0
6,756b837a-2728-4401-ba2c-64631ec85886,5,9,37,0
6,0aeb9fdc-d2e4-4faf-a58f-40366838fde0,3,6,37,0
6,621b86f9-0d14-4826-9fbb-acab6d6112ed,1,9,37,0
6,2c74984d-86e3-441a-a4fe-3a9817de4810,14,16,37,0
6,95432033-70ac-4cd5-8c07-5d4cec71f533,15,12,37,0
6,4dc7213e-b62b-4854-982d-5065c8f5edc0,14,11,37,0
6,fa9493cf-0222-4f1e-a617-8589ed3e336e,0,11,37,0
6,7386bd4e-d426-4e17-9fb2-62b1aac22a10,11,11,37,0
6,28308bb0-02f9-4b3e-8346-dfe160b30979,7,12,37,0
6,37cbbaf8-fde0-42a4-8b7a-ca0d919db8a9,9,8,37,0
6,7de39446-1668-47fb-a84b-7acc8b5def1d,4,10,37,0
6,1494c05b-28f1-4717-aaf0-8dbf2a17e2f1,19,6,37,0
6,e24b9ec9-21ee-4799-8277-81aa5ccf3303,4,4,37,0
6,2a286618-4b7b-4e08-9f64-e59b2e44e174,14,10,37,0
6,e1c61b57-456e-4478-a30b-60e7eb366cf1,5,10,37,0
6,a09da75d-f5f8-4870-ac7c-343b0c3e2e45,4,15,37,0
6,2171aba9-235c-4455-9872-4f20887502c0,8,16,37,0
6,746a32cd-fbb4-42d8-b2a2-5678a9f5cfb9,18,10,37,0
6,1263bcff-43d7-4dfa-b216-11729565feb0,7,15,37,0
6,5fa664f0-91cf-4804-862b-a46872f00ae2,19,5,37,0
6,e60fb399-e5b9-4fdd-9217-9b07e40a297a,16,16,37,0
6,8ae73084-ed3f-4e07-888a-f35d4b6b732d,15,6,37,0
6,cbba9ab1-b0e5-40f3-86f9-e26c47735833,14,3,37,0
6,cb790b06-54f5-4218-a549-78d1a30bfcdf,13,19,37,0
6,067566ce-d17d-4a2d-9ee1-e20a4542c844,2,7,37,0
6,3fcd3563-fffb-4fe2-b04c-20434ae4c55a,14,0,37,0
6,065d927a-5750-428d-b0ba-4c8fdd1b8a3a,3,4,37,0
6,298c54b4-72bf-423f-bac2-9472f474d36e,14,6,37,0
6,e45f1d6e-9ce0-4001-b322-4c87b0339918,13,12,37,0
6,be4458a4-ea19-44a8-a34f-c100b579345f,18,12,37,0
6,86155a73-2930-4405-b715-3d7391068753,6,4,37,0
6,bf4e4d38-75d0-4cca-ab93-cd7a6efcff24,16,9,37,0
7,3fb9d278-57ec-4088-8909-4e87133f92bd,12,3,36,0
7,87a672f3-db0f-4cde-9ba1-bc97ee5859f8,12,15,36,0
7,0b00bbbc-0fa5-417a-84c3-3e34274ba0f5,15,15,36,0
7,344bceaa-552c-4c5d-8d6f-bcb38bc14c35,6,15,36,0
7,d2a36b3a-2595-418a-b009-ffb1f11067ab,3,5,36,0
7,96d3db2f-8fbc-4f9a-908a-45c01431889f,9,7,36,0
7,2f155487-7a8a-4365-a969-da915436c18f,6,11,36,0
7,6b2699f6-6db4-4ffe-9947-3d8fa0b6893c,6,10,36,0
7,756b837a-2728-4401-ba2c-64631ec85886,5,9,36,0
7,0aeb9fdc-d2e4-4faf-a58f-40366838fde0,3,6,36,0
7,621b86f9-0d14-4826-9fbb-acab6d6112ed,1,8,36,0
7,2c74984d-86e3-441a-a4fe-3a9817de4810,15,16,36,0
7,95432033-70ac-4cd5-8c07-5d4cec71f533,16,12,36,0
7,4dc7213e-b62b-4854-982d-5065c8f5edc0,14,11,36,0
