tick,agent_id,x,y,active_agents,messages_sent
0,d5a99904-c873-46e6-885e-29de74e8ebce,8,9,4,0
0,c30934bb-afd1-4315-af9a-d637b360f172,3,1,4,0
0,a53e249c-18a8-45cc-b7d8-c97451c96907,0,4,4,0
0,a253830f-6a4a-4cd0-9a80-36992613fca9,8,6,4,0
1,d5a99904-c873-46e6-885e-29de74e8ebce,8,9,4,0
1,c30934bb-afd1-4315-af9a-d637b360f172,3,1,4,0
1,a53e249c-18a8-45cc-b7d8-c97451c96907,0,4,4,0
1,a253830f-6a4a-4cd0-9a80-36992613fca9,8,6,4,0
2,d5a99904-c873-46e6-885e-29de74e8ebce,8,8,4,0
2,c30934bb-afd1-4315-af9a-d637b360f172,3,1,4,0
2,a53e249c-18a8-45cc-b7d8-c97451c96907,0,4,4,0
2,a253830f-6a4a-4cd0-9a80-36992613fca9,8,6,4,0
3,d5a99904-c873-46e6-885e-29de74e8ebce,8,8,4,0
3,c30934bb-afd1-4315-af9a-d637b360f172,3,1,4,0
3,a53e249c-18a8-45cc-b7d8-c97451c96907,0,4,4,0
3,a253830f-6a4a-4cd0-9a80-36992613fca9,8,6,4,0
4,d5a99904-c873-46e6-885e-29de74e8ebce,8,7,4,0
4,c30934bb-afd1-4315-af9a-d637b360f172,3,1,4,0
4,a53e249c-18a8-45cc-b7d8-c97451c96907,0,4,4,0
4,a253830f-6a4a-4cd0-9a80-36992613fca9,8,6,4,0
5,d5a99904-c873-46e6-885e-29de74e8ebce,8,7,4,0
5,c30934bb-afd1-4315-af9a-d637b360f172,3,1,4,0
5,a53e249c-18a8-45cc-b7d8-c97451c96907,0,4,4,0
5,a253830f-6a4a-4cd0-9a80-36992613fca9,8,6,4,0
6,d5a99904-c873-46e6-885e-29de74e8ebce,8,6,2,0
6,c30934bb-afd1-4315-af9a-d637b360f172,3,1,2,0
6,a53e249c-18a8-45cc-b7d8-c97451c96907,0,4,2,0
6,a253830f-6a4a-4cd0-9a80-36992613fca9,8,6,2,0
7,d5a99904-c873-46e6-885e-29de74e8ebce,8,6,2,0
