tick,agent_id,x,y,active_agents,messages_sent
0,d01f06e4-f8af-410a-a596-1b88f8893207,22,1,4,0
0,34f00faf-b827-4f7b-ab12-e6607a3e4372,4,5,4,0
0,bb238c5a-f69d-49d0-912a-6e3c6aeaee9d,0,2,4,0
0,61b7562e-8a55-4db2-bc37-96cad51f5127,5,1,4,0
1,d01f06e4-f8af-410a-a596-1b88f8893207,21,1,4,0
1,34f00faf-b827-4f7b-ab12-e6607a3e4372,5,5,4,0
1,bb238c5a-f69d-49d0-912a-6e3c6aeaee9d,0,3,4,0
1,61b7562e-8a55-4db2-bc37-96cad51f5127,4,1,4,0
2,d01f06e4-f8af-410a-a596-1b88f8893207,20,1,4,0
2,34f00faf-b827-4f7b-ab12-e6607a3e4372,6,5,4,0
2,bb238c5a-f69d-49d0-912a-6e3c6aeaee9d,0,4,4,0
2,61b7562e-8a55-4db2-bc37-96cad51f5127,3,1,4,0
3,d01f06e4-f8af-410a-a596-1b88f8893207,19,1,3,0
3,34f00faf-b827-4f7b-ab12-e6607a3e4372,7,5,3,0
3,bb238c5a-f69d-49d0-912a-6e3c6aeaee9d,0,5,3,0
3,61b7562e-8a55-4db2-bc37-96cad51f5127,2,1,3,0
4,d01f06e4-f8af-410a-a596-1b88f8893207,18,1,3,0
4,34f00faf-b827-4f7b-ab12-e6607a3e4372,8,5,3,0
4,bb238c5a-f69d-49d0-912a-6e3c6aeaee9d,0,5,3,0
4,61b7562e-8a55-4db2-bc37-96cad51f5127,1,1,3,0
5,d01f06e4-f8af-410a-a596-1b88f8893207,17,1,1,0
5,34f00faf-b827-4f7b-ab12-e6607a3e4372,9,5,1,0
5,bb238c5a-f69d-49d0-912a-6e3c6aeaee9d,0,5,1,0
5,61b7562e-8a55-4db2-bc37-96cad51f5127,0,1,1,0
6,d01f06e4-f8af-410a-a596-1b88f8893207,17,1,1,0
6,34f00faf-b827-4f7b-ab12-e6607a3e4372,10,5,1,0
6,bb238c5a-f69d-49d0-912a-6e3c6aeaee9d,0,5,1,0
6,61b7562e-8a55-4db2-bc37-96cad51f5127,0,1,1,0
7,d01f06e4-f8af-410a-a596-1b88f8893207,17,1,1,0
7,34f00faf-b827-4f7b-ab12-e6607a3e4372,11,5,1,0
7,bb238c5a-f69d-49d0-912a-6e3c6aeaee9d,0,5,1,0
7,61b7562e-8a55-4db2-bc37-96cad51f5127,0,1,1,0
8,d01f06e4-f8af-410a-a596-1b88f8893207,17,1,1,0
8,34f00faf-b827-4f7b-ab12-e6607a3e4372,11,4,1,0
8,bb238c5a-f69d-49d0-912a-6e3c6aeaee9d,0,5,1,0
8,61b7562e-8a55-4db2-bc37-96cad51f5127,0,1,1,0
9,d01f06e4-f8af-410a-a596-1b88f8893207,17,1,1,0
9,34f00faf-b827-4f7b-ab12-e6607a3e4372,11,3,1,0
9,bb238c5a-f69d-49d0-912a-6e3c6aeaee9d,0,5,1,0
9,61b7562e-8a55-4db2-bc37-96cad51f5127,0,1,1,0
10,d01f06e4-f8af-410a-a596-1b88f8893207,17,1,1,0
10,34f00faf-b827-4f7b-ab12-e6607a3e4372,11,2,1,0
10,bb238c5a-f69d-49d0-912a-6e3c6aeaee9d,0,5,1,0
10,61b7562e-8a55-4db2-bc37-96cad51f5127,0,1,1,0
11,d01f06e4-f8af-410a-a596-1b88f8893207,17,1,0,0
11,34f00faf-b827-4f7b-ab12-e6607a3e4372,11,1,0,0
11,bb238c5a-f69d-49d0-912a-6e3c6aeaee9d,0,5,0,0
11,61b7562e-8a55-4db2-bc37-96cad51f5127,0,1,0,0
